x,y,grp
13422,36,g2
13423,37,g3
13424,38,g4
13425,39,g0
13426,40,g1
13427,41,g2
13428,42,g3
13429,43,g4
13430,44,g0
13431,45,g1
13432,46,g2
13433,47,g3
13434,48,g4
13435,49,g0
13436,50,g1
13437,51,g2
13438,52,g3
13439,53,g4
13440,54,g0
13441,55,g1
13442,56,g2
13443,57,g3
13444,58,g4
13445,59,g0
13446,60,g1
13447,61,g2
13448,62,g3
13449,63,g4
13450,64,g0
13451,65,g1
13452,66,g2
13453,67,g3
13454,68,g4
13455,69,g0
13456,70,g1
13457,71,g2
13458,72,g3
13459,73,g4
13460,74,g0
13461,75,g1
13462,76,g2
13463,77,g3
13464,78,g4
13465,79,g0
13466,80,g1
13467,81,g2
13468,82,g3
13469,83,g4
13470,84,g0
13471,85,g1
13472,86,g2
13473,87,g3
13474,88,g4
13475,89,g0
13476,90,g1
13477,91,g2
13478,92,g3
13479,93,g4
13480,94,g0
13481,95,g1
13482,96,g2
13483,0,g3
13484,1,g4
13485,2,g0
13486,3,g1
13487,4,g2
13488,5,g3
13489,6,g4
13490,7,g0
13491,8,g1
13492,9,g2
13493,10,g3
13494,11,g4
13495,12,g0
13496,13,g1
13497,14,g2
13498,15,g3
13499,16,g4
13500,17,g0
13501,18,g1
13502,19,g2
13503,20,g3
13504,21,g4
13505,22,g0
13506,23,g1
13507,24,g2
13508,25,g3
13509,26,g4
13510,27,g0
13511,28,g1
13512,29,g2
13513,30,g3
13514,31,g4
13515,32,g0
13516,33,g1
13517,34,g2
13518,35,g3
13519,36,g4
13520,37,g0
13521,38,g1
13522,39,g2
13523,40,g3
13524,41,g4
13525,42,g0
13526,43,g1
13527,44,g2
13528,45,g3
13529,46,g4
13530,47,g0
13531,48,g1
13532,49,g2
13533,50,g3
13534,51,g4
13535,52,g0
13536,53,g1
13537,54,g2
13538,55,g3
13539,56,g4
13540,57,g0
13541,58,g1
13542,59,g2
13543,60,g3
13544,61,g4
13545,62,g0
13546,63,g1
13547,64,g2
13548,65,g3
13549,66,g4
13550,67,g0
13551,68,g1
13552,69,g2
13553,70,g3
13554,71,g4
13555,72,g0
13556,73,g1
13557,74,g2
13558,75,g3
13559,76,g4
13560,77,g0
13561,78,g1
13562,79,g2
13563,80,g3
13564,81,g4
13565,82,g0
13566,83,g1
13567,84,g2
13568,85,g3
13569,86,g4
13570,87,g0
13571,88,g1
13572,89,g2
13573,90,g3
13574,91,g4
13575,92,g0
13576,93,g1
13577,94,g2
13578,95,g3
13579,96,g4
13580,0,g0
13581,1,g1
13582,2,g2
13583,3,g3
13584,4,g4
13585,5,g0
13586,6,g1
13587,7,g2
13588,8,g3
13589,9,g4
13590,10,g0
13591,11,g1
13592,12,g2
13593,13,g3
13594,14,g4
13595,15,g0
13596,16,g1
13597,17,g2
13598,18,g3
13599,19,g4
13600,20,g0
13601,21,g1
13602,22,g2
13603,23,g3
13604,24,g4
13605,25,g0
13606,26,g1
13607,27,g2
13608,28,g3
13609,29,g4
13610,30,g0
13611,31,g1
13612,32,g2
13613,33,g3
13614,34,g4
13615,35,g0
13616,36,g1
13617,37,g2
13618,38,g3
13619,39,g4
13620,40,g0
13621,41,g1
13622,42,g2
13623,43,g3
13624,44,g4
13625,45,g0
13626,46,g1
13627,47,g2
13628,48,g3
13629,49,g4
13630,50,g0
13631,51,g1
13632,52,g2
13633,53,g3
13634,54,g4
13635,55,g0
13636,56,g1
13637,57,g2
13638,58,g3
13639,59,g4
13640,60,g0
13641,61,g1
13642,62,g2
13643,63,g3
13644,64,g4
13645,65,g0
13646,66,g1
13647,67,g2
13648,68,g3
13649,69,g4
13650,70,g0
13651,71,g1
13652,72,g2
13653,73,g3
13654,74,g4
13655,75,g0
13656,76,g1
13657,77,g2
13658,78,g3
13659,79,g4
13660,80,g0
13661,81,g1
13662,82,g2
13663,83,g3
13664,84,g4
13665,85,g0
13666,86,g1
13667,87,g2
13668,88,g3
13669,89,g4
13670,90,g0
13671,91,g1
13672,92,g2
13673,93,g3
13674,94,g4
13675,95,g0
13676,96,g1
13677,0,g2
13678,1,g3
13679,2,g4
13680,3,g0
13681,4,g1
13682,5,g2
13683,6,g3
13684,7,g4
13685,8,g0
13686,9,g1
13687,10,g2
13688,11,g3
13689,12,g4
13690,13,g0
13691,14,g1
13692,15,g2
13693,16,g3
13694,17,g4
13695,18,g0
13696,19,g1
13697,20,g2
13698,21,g3
13699,22,g4
13700,23,g0
13701,24,g1
13702,25,g2
13703,26,g3
13704,27,g4
13705,28,g0
13706,29,g1
13707,30,g2
13708,31,g3
13709,32,g4
13710,33,g0
13711,34,g1
13712,35,g2
13713,36,g3
13714,37,g4
13715,38,g0
13716,39,g1
13717,40,g2
13718,41,g3
13719,42,g4
13720,43,g0
13721,44,g1
13722,45,g2
13723,46,g3
13724,47,g4
13725,48,g0
13726,49,g1
13727,50,g2
13728,51,g3
13729,52,g4
13730,53,g0
13731,54,g1
13732,55,g2
13733,56,g3
13734,57,g4
13735,58,g0
13736,59,g1
13737,60,g2
13738,61,g3
13739,62,g4
13740,63,g0
13741,64,g1
13742,65,g2
13743,66,g3
13744,67,g4
13745,68,g0
13746,69,g1
13747,70,g2
13748,71,g3
13749,72,g4
13750,73,g0
13751,74,g1
13752,75,g2
13753,76,g3
13754,77,g4
13755,78,g0
13756,79,g1
13757,80,g2
13758,81,g3
13759,82,g4
13760,83,g0
13761,84,g1
13762,85,g2
13763,86,g3
13764,87,g4
13765,88,g0
13766,89,g1
13767,90,g2
13768,91,g3
13769,92,g4
13770,93,g0
13771,94,g1
13772,95,g2
13773,96,g3
13774,0,g4
13775,1,g0
13776,2,g1
13777,3,g2
13778,4,g3
13779,5,g4
13780,6,g0
13781,7,g1
13782,8,g2
13783,9,g3
13784,10,g4
13785,11,g0
13786,12,g1
13787,13,g2
13788,14,g3
13789,15,g4
13790,16,g0
13791,17,g1
13792,18,g2
13793,19,g3
13794,20,g4
13795,21,g0
13796,22,g1
13797,23,g2
13798,24,g3
13799,25,g4
13800,26,g0
13801,27,g1
13802,28,g2
13803,29,g3
13804,30,g4
13805,31,g0
13806,32,g1
13807,33,g2
13808,34,g3
13809,35,g4
13810,36,g0
13811,37,g1
13812,38,g2
13813,39,g3
13814,40,g4
13815,41,g0
13816,42,g1
13817,43,g2
13818,44,g3
13819,45,g4
13820,46,g0
13821,47,g1
13822,48,g2
13823,49,g3
13824,50,g4
13825,51,g0
13826,52,g1
13827,53,g2
13828,54,g3
13829,55,g4
13830,56,g0
13831,57,g1
13832,58,g2
13833,59,g3
13834,60,g4
13835,61,g0
13836,62,g1
13837,63,g2
13838,64,g3
13839,65,g4
13840,66,g0
13841,67,g1
13842,68,g2
13843,69,g3
13844,70,g4
13845,71,g0
13846,72,g1
13847,73,g2
13848,74,g3
13849,75,g4
13850,76,g0
13851,77,g1
13852,78,g2
13853,79,g3
13854,80,g4
13855,81,g0
13856,82,g1
13857,83,g2
13858,84,g3
13859,85,g4
13860,86,g0
13861,87,g1
13862,88,g2
13863,89,g3
13864,90,g4
13865,91,g0
13866,92,g1
13867,93,g2
13868,94,g3
13869,95,g4
13870,96,g0
13871,0,g1
13872,1,g2
13873,2,g3
13874,3,g4
13875,4,g0
13876,5,g1
13877,6,g2
13878,7,g3
13879,8,g4
13880,9,g0
13881,10,g1
13882,11,g2
13883,12,g3
13884,13,g4
13885,14,g0
13886,15,g1
13887,16,g2
13888,17,g3
13889,18,g4
13890,19,g0
13891,20,g1
13892,21,g2
13893,22,g3
13894,23,g4
13895,24,g0
13896,25,g1
13897,26,g2
13898,27,g3
13899,28,g4
13900,29,g0
13901,30,g1
13902,31,g2
13903,32,g3
13904,33,g4
13905,34,g0
13906,35,g1
13907,36,g2
13908,37,g3
13909,38,g4
13910,39,g0
13911,40,g1
13912,41,g2
13913,42,g3
13914,43,g4
13915,44,g0
13916,45,g1
13917,46,g2
13918,47,g3
13919,48,g4
13920,49,g0
13921,50,g1
13922,51,g2
13923,52,g3
13924,53,g4
13925,54,g0
13926,55,g1
13927,56,g2
13928,57,g3
13929,58,g4
13930,59,g0
13931,60,g1
13932,61,g2
13933,62,g3
13934,63,g4
13935,64,g0
13936,65,g1
13937,66,g2
13938,67,g3
13939,68,g4
13940,69,g0
13941,70,g1
13942,71,g2
13943,72,g3
13944,73,g4
13945,74,g0
13946,75,g1
13947,76,g2
13948,77,g3
13949,78,g4
13950,79,g0
13951,80,g1
13952,81,g2
13953,82,g3
13954,83,g4
13955,84,g0
13956,85,g1
13957,86,g2
13958,87,g3
13959,88,g4
13960,89,g0
13961,90,g1
13962,91,g2
13963,92,g3
13964,93,g4
13965,94,g0
13966,95,g1
13967,96,g2
13968,0,g3
13969,1,g4
13970,2,g0
13971,3,g1
13972,4,g2
13973,5,g3
13974,6,g4
13975,7,g0
13976,8,g1
13977,9,g2
13978,10,g3
13979,11,g4
13980,12,g0
13981,13,g1
13982,14,g2
13983,15,g3
13984,16,g4
13985,17,g0
13986,18,g1
13987,19,g2
13988,20,g3
13989,21,g4
13990,22,g0
13991,23,g1
13992,24,g2
13993,25,g3
13994,26,g4
13995,27,g0
13996,28,g1
13997,29,g2
13998,30,g3
13999,31,g4
14000,32,g0
14001,33,g1
14002,34,g2
14003,35,g3
14004,36,g4
14005,37,g0
14006,38,g1
14007,39,g2
14008,40,g3
14009,41,g4
14010,42,g0
14011,43,g1
14012,44,g2
14013,45,g3
14014,46,g4
14015,47,g0
14016,48,g1
14017,49,g2
14018,50,g3
14019,51,g4
14020,52,g0
14021,53,g1
14022,54,g2
14023,55,g3
14024,56,g4
14025,57,g0
14026,58,g1
14027,59,g2
14028,60,g3
14029,61,g4
14030,62,g0
14031,63,g1
14032,64,g2
14033,65,g3
14034,66,g4
14035,67,g0
14036,68,g1
14037,69,g2
14038,70,g3
14039,71,g4
14040,72,g0
14041,73,g1
14042,74,g2
14043,75,g3
14044,76,g4
14045,77,g0
14046,78,g1
14047,79,g2
14048,80,g3
14049,81,g4
14050,82,g0
14051,83,g1
14052,84,g2
14053,85,g3
14054,86,g4
14055,87,g0
14056,88,g1
14057,89,g2
14058,90,g3
14059,91,g4
14060,92,g0
14061,93,g1
14062,94,g2
14063,95,g3
14064,96,g4
14065,0,g0
14066,1,g1
14067,2,g2
14068,3,g3
14069,4,g4
14070,5,g0
14071,6,g1
14072,7,g2
14073,8,g3
14074,9,g4
14075,10,g0
14076,11,g1
14077,12,g2
14078,13,g3
14079,14,g4
14080,15,g0
14081,16,g1
14082,17,g2
14083,18,g3
14084,19,g4
14085,20,g0
14086,21,g1
14087,22,g2
14088,23,g3
14089,24,g4
14090,25,g0
14091,26,g1
14092,27,g2
14093,28,g3
14094,29,g4
14095,30,g0
14096,31,g1
14097,32,g2
14098,33,g3
14099,34,g4
14100,35,g0
14101,36,g1
14102,37,g2
14103,38,g3
14104,39,g4
14105,40,g0
14106,41,g1
14107,42,g2
14108,43,g3
14109,44,g4
14110,45,g0
14111,46,g1
14112,47,g2
14113,48,g3
14114,49,g4
14115,50,g0
14116,51,g1
14117,52,g2
14118,53,g3
14119,54,g4
14120,55,g0
14121,56,g1
14122,57,g2
14123,58,g3
14124,59,g4
14125,60,g0
14126,61,g1
14127,62,g2
14128,63,g3
14129,64,g4
14130,65,g0
14131,66,g1
14132,67,g2
14133,68,g3
14134,69,g4
14135,70,g0
14136,71,g1
14137,72,g2
14138,73,g3
14139,74,g4
14140,75,g0
14141,76,g1
14142,77,g2
14143,78,g3
14144,79,g4
14145,80,g0
14146,81,g1
14147,82,g2
14148,83,g3
14149,84,g4
14150,85,g0
14151,86,g1
14152,87,g2
14153,88,g3
14154,89,g4
14155,90,g0
14156,91,g1
14157,92,g2
14158,93,g3
14159,94,g4
14160,95,g0
14161,96,g1
14162,0,g2
14163,1,g3
14164,2,g4
14165,3,g0
14166,4,g1
14167,5,g2
14168,6,g3
14169,7,g4
14170,8,g0
14171,9,g1
14172,10,g2
14173,11,g3
14174,12,g4
14175,13,g0
14176,14,g1
14177,15,g2
14178,16,g3
14179,17,g4
14180,18,g0
14181,19,g1
14182,20,g2
14183,21,g3
14184,22,g4
14185,23,g0
14186,24,g1
14187,25,g2
14188,26,g3
14189,27,g4
14190,28,g0
14191,29,g1
14192,30,g2
14193,31,g3
14194,32,g4
14195,33,g0
14196,34,g1
14197,35,g2
14198,36,g3
14199,37,g4
14200,38,g0
14201,39,g1
14202,40,g2
14203,41,g3
14204,42,g4
14205,43,g0
14206,44,g1
14207,45,g2
14208,46,g3
14209,47,g4
14210,48,g0
14211,49,g1
14212,50,g2
14213,51,g3
14214,52,g4
14215,53,g0
14216,54,g1
14217,55,g2
14218,56,g3
14219,57,g4
14220,58,g0
14221,59,g1
14222,60,g2
14223,61,g3
14224,62,g4
14225,63,g0
14226,64,g1
14227,65,g2
14228,66,g3
14229,67,g4
14230,68,g0
14231,69,g1
14232,70,g2
14233,71,g3
14234,72,g4
14235,73,g0
14236,74,g1
14237,75,g2
14238,76,g3
14239,77,g4
14240,78,g0
14241,79,g1
14242,80,g2
14243,81,g3
14244,82,g4
14245,83,g0
14246,84,g1
14247,85,g2
14248,86,g3
14249,87,g4
14250,88,g0
14251,89,g1
14252,90,g2
14253,91,g3
14254,92,g4
14255,93,g0
14256,94,g1
14257,95,g2
14258,96,g3
14259,0,g4
14260,1,g0
14261,2,g1
14262,3,g2
14263,4,g3
14264,5,g4
14265,6,g0
14266,7,g1
14267,8,g2
14268,9,g3
14269,10,g4
14270,11,g0
14271,12,g1
14272,13,g2
14273,14,g3
14274,15,g4
14275,16,g0
14276,17,g1
14277,18,g2
14278,19,g3
14279,20,g4
14280,21,g0
14281,22,g1
14282,23,g2
14283,24,g3
14284,25,g4
14285,26,g0
14286,27,g1
14287,28,g2
14288,29,g3
14289,30,g4
14290,31,g0
14291,32,g1
14292,33,g2
14293,34,g3
14294,35,g4
14295,36,g0
14296,37,g1
14297,38,g2
14298,39,g3
14299,40,g4
14300,41,g0
14301,42,g1
14302,43,g2
14303,44,g3
14304,45,g4
14305,46,g0
14306,47,g1
14307,48,g2
14308,49,g3
14309,50,g4
14310,51,g0
14311,52,g1
14312,53,g2
14313,54,g3
14314,55,g4
14315,56,g0
14316,57,g1
14317,58,g2
14318,59,g3
14319,60,g4
14320,61,g0
14321,62,g1
14322,63,g2
14323,64,g3
14324,65,g4
14325,66,g0
14326,67,g1
14327,68,g2
14328,69,g3
14329,70,g4
14330,71,g0
14331,72,g1
14332,73,g2
14333,74,g3
14334,75,g4
14335,76,g0
14336,77,g1
14337,78,g2
14338,79,g3
14339,80,g4
14340,81,g0
14341,82,g1
14342,83,g2
14343,84,g3
14344,85,g4
14345,86,g0
14346,87,g1
14347,88,g2
14348,89,g3
14349,90,g4
14350,91,g0
14351,92,g1
14352,93,g2
14353,94,g3
14354,95,g4
14355,96,g0
14356,0,g1
14357,1,g2
14358,2,g3
14359,3,g4
14360,4,g0
14361,5,g1
14362,6,g2
14363,7,g3
14364,8,g4
14365,9,g0
14366,10,g1
14367,11,g2
14368,12,g3
14369,13,g4
14370,14,g0
14371,15,g1
14372,16,g2
14373,17,g3
14374,18,g4
14375,19,g0
14376,20,g1
14377,21,g2
14378,22,g3
14379,23,g4
14380,24,g0
14381,25,g1
14382,26,g2
14383,27,g3
14384,28,g4
14385,29,g0
14386,30,g1
14387,31,g2
14388,32,g3
14389,33,g4
14390,34,g0
14391,35,g1
14392,36,g2
14393,37,g3
14394,38,g4
14395,39,g0
14396,40,g1
14397,41,g2
14398,42,g3
14399,43,g4
14400,44,g0
14401,45,g1
14402,46,g2
14403,47,g3
14404,48,g4
14405,49,g0
14406,50,g1
14407,51,g2
14408,52,g3
14409,53,g4
14410,54,g0
14411,55,g1
14412,56,g2
14413,57,g3
14414,58,g4
14415,59,g0
14416,60,g1
14417,61,g2
14418,62,g3
14419,63,g4
14420,64,g0
14421,65,g1
14422,66,g2
14423,67,g3
14424,68,g4
14425,69,g0
14426,70,g1
14427,71,g2
14428,72,g3
14429,73,g4
14430,74,g0
14431,75,g1
14432,76,g2
14433,77,g3
14434,78,g4
14435,79,g0
14436,80,g1
14437,81,g2
14438,82,g3
14439,83,g4
14440,84,g0
14441,85,g1
14442,86,g2
14443,87,g3
14444,88,g4
14445,89,g0
14446,90,g1
14447,91,g2
14448,92,g3
14449,93,g4
14450,94,g0
14451,95,g1
14452,96,g2
14453,0,g3
14454,1,g4
14455,2,g0
14456,3,g1
14457,4,g2
14458,5,g3
14459,6,g4
14460,7,g0
14461,8,g1
14462,9,g2
14463,10,g3
14464,11,g4
14465,12,g0
14466,13,g1
14467,14,g2
14468,15,g3
14469,16,g4
14470,17,g0
14471,18,g1
14472,19,g2
14473,20,g3
14474,21,g4
14475,22,g0
14476,23,g1
14477,24,g2
14478,25,g3
14479,26,g4
14480,27,g0
14481,28,g1
14482,29,g2
14483,30,g3
14484,31,g4
14485,32,g0
14486,33,g1
14487,34,g2
14488,35,g3
14489,36,g4
14490,37,g0
14491,38,g1
14492,39,g2
14493,40,g3
14494,41,g4
14495,42,g0
14496,43,g1
14497,44,g2
14498,45,g3
14499,46,g4
14500,47,g0
14501,48,g1
14502,49,g2
14503,50,g3
14504,51,g4
14505,52,g0
14506,53,g1
14507,54,g2
14508,55,g3
14509,56,g4
14510,57,g0
14511,58,g1
14512,59,g2
14513,60,g3
14514,61,g4
14515,62,g0
14516,63,g1
14517,64,g2
14518,65,g3
14519,66,g4
14520,67,g0
14521,68,g1
14522,69,g2
14523,70,g3
14524,71,g4
14525,72,g0
14526,73,g1
14527,74,g2
14528,75,g3
14529,76,g4
14530,77,g0
14531,78,g1
14532,79,g2
14533,80,g3
14534,81,g4
14535,82,g0
14536,83,g1
14537,84,g2
14538,85,g3
14539,86,g4
14540,87,g0
14541,88,g1
14542,89,g2
14543,90,g3
14544,91,g4
14545,92,g0
14546,93,g1
14547,94,g2
14548,95,g3
14549,96,g4
14550,0,g0
14551,1,g1
14552,2,g2
14553,3,g3
14554,4,g4
14555,5,g0
14556,6,g1
14557,7,g2
14558,8,g3
14559,9,g4
14560,10,g0
14561,11,g1
14562,12,g2
14563,13,g3
14564,14,g4
14565,15,g0
14566,16,g1
14567,17,g2
14568,18,g3
14569,19,g4
14570,20,g0
14571,21,g1
14572,22,g2
14573,23,g3
14574,24,g4
14575,25,g0
14576,26,g1
14577,27,g2
14578,28,g3
14579,29,g4
14580,30,g0
14581,31,g1
14582,32,g2
14583,33,g3
14584,34,g4
14585,35,g0
14586,36,g1
14587,37,g2
14588,38,g3
14589,39,g4
14590,40,g0
14591,41,g1
14592,42,g2
14593,43,g3
14594,44,g4
14595,45,g0
14596,46,g1
14597,47,g2
14598,48,g3
14599,49,g4
14600,50,g0
14601,51,g1
14602,52,g2
14603,53,g3
14604,54,g4
14605,55,g0
14606,56,g1
14607,57,g2
14608,58,g3
14609,59,g4
14610,60,g0
14611,61,g1
14612,62,g2
14613,63,g3
14614,64,g4
14615,65,g0
14616,66,g1
14617,67,g2
14618,68,g3
14619,69,g4
14620,70,g0
14621,71,g1
14622,72,g2
14623,73,g3
14624,74,g4
14625,75,g0
14626,76,g1
14627,77,g2
14628,78,g3
14629,79,g4
14630,80,g0
14631,81,g1
14632,82,g2
14633,83,g3
14634,84,g4
14635,85,g0
14636,86,g1
14637,87,g2
14638,88,g3
14639,89,g4
14640,90,g0
14641,91,g1
14642,92,g2
14643,93,g3
14644,94,g4
14645,95,g0
14646,96,g1
14647,0,g2
14648,1,g3
14649,2,g4
14650,3,g0
14651,4,g1
14652,5,g2
14653,6,g3
14654,7,g4
14655,8,g0
14656,9,g1
14657,10,g2
14658,11,g3
14659,12,g4
14660,13,g0
14661,14,g1
14662,15,g2
14663,16,g3
14664,17,g4
14665,18,g0
14666,19,g1
14667,20,g2
14668,21,g3
14669,22,g4
14670,23,g0
14671,24,g1
14672,25,g2
14673,26,g3
14674,27,g4
14675,28,g0
14676,29,g1
14677,30,g2
14678,31,g3
14679,32,g4
14680,33,g0
14681,34,g1
14682,35,g2
14683,36,g3
14684,37,g4
14685,38,g0
14686,39,g1
14687,40,g2
14688,41,g3
14689,42,g4
14690,43,g0
14691,44,g1
14692,45,g2
14693,46,g3
14694,47,g4
14695,48,g0
14696,49,g1
14697,50,g2
14698,51,g3
14699,52,g4
14700,53,g0
14701,54,g1
14702,55,g2
14703,56,g3
14704,57,g4
14705,58,g0
14706,59,g1
14707,60,g2
14708,61,g3
14709,62,g4
14710,63,g0
14711,64,g1
14712,65,g2
14713,66,g3
14714,67,g4
14715,68,g0
14716,69,g1
14717,70,g2
14718,71,g3
14719,72,g4
14720,73,g0
14721,74,g1
14722,75,g2
14723,76,g3
14724,77,g4
14725,78,g0
14726,79,g1
14727,80,g2
14728,81,g3
14729,82,g4
14730,83,g0
14731,84,g1
14732,85,g2
14733,86,g3
14734,87,g4
14735,88,g0
14736,89,g1
14737,90,g2
14738,91,g3
14739,92,g4
14740,93,g0
14741,94,g1
14742,95,g2
14743,96,g3
14744,0,g4
14745,1,g0
14746,2,g1
14747,3,g2
14748,4,g3
14749,5,g4
14750,6,g0
14751,7,g1
14752,8,g2
14753,9,g3
14754,10,g4
14755,11,g0
14756,12,g1
14757,13,g2
14758,14,g3
14759,15,g4
14760,16,g0
14761,17,g1
14762,18,g2
14763,19,g3
14764,20,g4
14765,21,g0
14766,22,g1
14767,23,g2
14768,24,g3
14769,25,g4
14770,26,g0
14771,27,g1
14772,28,g2
14773,29,g3
14774,30,g4
14775,31,g0
14776,32,g1
14777,33,g2
14778,34,g3
14779,35,g4
14780,36,g0
14781,37,g1
14782,38,g2
14783,39,g3
14784,40,g4
14785,41,g0
14786,42,g1
14787,43,g2
14788,44,g3
14789,45,g4
14790,46,g0
14791,47,g1
14792,48,g2
14793,49,g3
14794,50,g4
14795,51,g0
14796,52,g1
14797,53,g2
14798,54,g3
14799,55,g4
14800,56,g0
14801,57,g1
14802,58,g2
14803,59,g3
14804,60,g4
14805,61,g0
14806,62,g1
14807,63,g2
14808,64,g3
14809,65,g4
14810,66,g0
14811,67,g1
14812,68,g2
14813,69,g3
14814,70,g4
14815,71,g0
14816,72,g1
14817,73,g2
14818,74,g3
14819,75,g4
14820,76,g0
14821,77,g1
14822,78,g2
14823,79,g3
14824,80,g4
14825,81,g0
14826,82,g1
14827,83,g2
14828,84,g3
14829,85,g4
14830,86,g0
14831,87,g1
14832,88,g2
14833,89,g3
14834,90,g4
14835,91,g0
14836,92,g1
14837,93,g2
14838,94,g3
14839,95,g4
14840,96,g0
14841,0,g1
14842,1,g2
14843,2,g3
14844,3,g4
14845,4,g0
14846,5,g1
14847,6,g2
14848,7,g3
14849,8,g4
14850,9,g0
14851,10,g1
14852,11,g2
14853,12,g3
14854,13,g4
14855,14,g0
14856,15,g1
14857,16,g2
14858,17,g3
14859,18,g4
14860,19,g0
14861,20,g1
14862,21,g2
14863,22,g3
14864,23,g4
14865,24,g0
14866,25,g1
14867,26,g2
14868,27,g3
14869,28,g4
14870,29,g0
14871,30,g1
14872,31,g2
14873,32,g3
14874,33,g4
14875,34,g0
14876,35,g1
14877,36,g2
14878,37,g3
14879,38,g4
14880,39,g0
14881,40,g1
14882,41,g2
14883,42,g3
14884,43,g4
14885,44,g0
14886,45,g1
14887,46,g2
14888,47,g3
14889,48,g4
14890,49,g0
14891,50,g1
14892,51,g2
14893,52,g3
14894,53,g4
14895,54,g0
14896,55,g1
14897,56,g2
14898,57,g3
14899,58,g4
14900,59,g0
14901,60,g1
14902,61,g2
14903,62,g3
14904,63,g4
14905,64,g0
14906,65,g1
14907,66,g2
14908,67,g3
14909,68,g4
14910,69,g0
14911,70,g1
14912,71,g2
14913,72,g3
14914,73,g4
14915,74,g0
14916,75,g1
14917,76,g2
14918,77,g3
14919,78,g4
14920,79,g0
14921,80,g1
14922,81,g2
14923,82,g3
14924,83,g4
14925,84,g0
14926,85,g1
14927,86,g2
14928,87,g3
14929,88,g4
14930,89,g0
14931,90,g1
14932,91,g2
14933,92,g3
14934,93,g4
14935,94,g0
14936,95,g1
14937,96,g2
14938,0,g3
14939,1,g4
14940,2,g0
14941,3,g1
14942,4,g2
14943,5,g3
14944,6,g4
14945,7,g0
14946,8,g1
14947,9,g2
14948,10,g3
14949,11,g4
14950,12,g0
14951,13,g1
14952,14,g2
14953,15,g3
14954,16,g4
14955,17,g0
14956,18,g1
14957,19,g2
14958,20,g3
14959,21,g4
14960,22,g0
14961,23,g1
14962,24,g2
14963,25,g3
14964,26,g4
14965,27,g0
14966,28,g1
14967,29,g2
14968,30,g3
14969,31,g4
14970,32,g0
14971,33,g1
14972,34,g2
14973,35,g3
14974,36,g4
14975,37,g0
14976,38,g1
14977,39,g2
14978,40,g3
14979,41,g4
14980,42,g0
14981,43,g1
14982,44,g2
14983,45,g3
14984,46,g4
14985,47,g0
14986,48,g1
14987,49,g2
14988,50,g3
14989,51,g4
14990,52,g0
14991,53,g1
14992,54,g2
14993,55,g3
14994,56,g4
14995,57,g0
14996,58,g1
14997,59,g2
14998,60,g3
14999,61,g4
15000,62,g0
15001,63,g1
15002,64,g2
15003,65,g3
15004,66,g4
15005,67,g0
15006,68,g1
15007,69,g2
15008,70,g3
15009,71,g4
15010,72,g0
15011,73,g1
15012,74,g2
15013,75,g3
15014,76,g4
15015,77,g0
15016,78,g1
15017,79,g2
15018,80,g3
15019,81,g4
15020,82,g0
15021,83,g1
15022,84,g2
15023,85,g3
15024,86,g4
15025,87,g0
15026,88,g1
15027,89,g2
15028,90,g3
15029,91,g4
15030,92,g0
15031,93,g1
15032,94,g2
15033,95,g3
15034,96,g4
15035,0,g0
15036,1,g1
15037,2,g2
15038,3,g3
15039,4,g4
15040,5,g0
15041,6,g1
15042,7,g2
15043,8,g3
15044,9,g4
15045,10,g0
15046,11,g1
15047,12,g2
15048,13,g3
15049,14,g4
15050,15,g0
15051,16,g1
15052,17,g2
15053,18,g3
15054,19,g4
15055,20,g0
15056,21,g1
15057,22,g2
15058,23,g3
15059,24,g4
15060,25,g0
15061,26,g1
15062,27,g2
15063,28,g3
15064,29,g4
15065,30,g0
15066,31,g1
15067,32,g2
15068,33,g3
15069,34,g4
15070,35,g0
15071,36,g1
15072,37,g2
15073,38,g3
15074,39,g4
15075,40,g0
15076,41,g1
15077,42,g2
15078,43,g3
15079,44,g4
15080,45,g0
15081,46,g1
15082,47,g2
15083,48,g3
15084,49,g4
15085,50,g0
15086,51,g1
15087,52,g2
15088,53,g3
15089,54,g4
15090,55,g0
15091,56,g1
15092,57,g2
15093,58,g3
15094,59,g4
15095,60,g0
15096,61,g1
15097,62,g2
15098,63,g3
15099,64,g4
15100,65,g0
15101,66,g1
15102,67,g2
15103,68,g3
15104,69,g4
15105,70,g0
15106,71,g1
15107,72,g2
15108,73,g3
15109,74,g4
15110,75,g0
15111,76,g1
15112,77,g2
15113,78,g3
15114,79,g4
15115,80,g0
15116,81,g1
15117,82,g2
15118,83,g3
15119,84,g4
15120,85,g0
15121,86,g1
15122,87,g2
15123,88,g3
15124,89,g4
15125,90,g0
15126,91,g1
15127,92,g2
15128,93,g3
15129,94,g4
15130,95,g0
15131,96,g1
15132,0,g2
15133,1,g3
15134,2,g4
15135,3,g0
15136,4,g1
15137,5,g2
15138,6,g3
15139,7,g4
15140,8,g0
15141,9,g1
15142,10,g2
15143,11,g3
15144,12,g4
15145,13,g0
15146,14,g1
15147,15,g2
15148,16,g3
15149,17,g4
15150,18,g0
15151,19,g1
15152,20,g2
15153,21,g3
15154,22,g4
15155,23,g0
15156,24,g1
15157,25,g2
15158,26,g3
15159,27,g4
15160,28,g0
15161,29,g1
15162,30,g2
15163,31,g3
15164,32,g4
15165,33,g0
15166,34,g1
15167,35,g2
15168,36,g3
15169,37,g4
15170,38,g0
